folioviv,ubica_geo,clase_hog,tam_loc,est_socio,educa_jefe,sexo_jefe,edad_jefe,tot_integ,hombres,mujeres,mayores,menores,ing_cor,ingtrab,gasto_mon,alimentos,educa_espa,salud,transporte
0702448201,7002,2,2,1,1,1,63,2,1,1,2,0,16336.33,4533.62,15678.43,7727.0,0.0,1418.46,4079.4
0702448201,7002,2,2,1,1,1,54,2,1,1,2,0,5097.64,4705.71,13443.13,6878.47,0.0,0.0,4905.14
0702448201,7002,2,2,1,7,1,22,3,1,2,2,1,42824.14,42824.14,33940.4,15441.22,1451.6,0.0,5719.48
0702448202,7002,3,2,1,3,1,76,4,2,2,4,0,30637.03,9931.63,11513.54,7212.72,0.0,224.99,2123.48
0702448203,7002,2,2,1,6,1,67,2,1,1,2,0,32021.86,0.0,26163.77,17421.26,0.0,1584.77,3409.19
0702448205,7002,2,2,1,6,1,45,5,2,3,4,1,25030.08,18202.73,13899.12,8125.56,0.0,0.0,2393.8
0702448206,7002,3,2,1,9,1,43,3,2,1,3,0,64938.91,26431.3,44050.04,25688.4,609.67,0.0,5283.84
0702448408,7002,2,2,1,9,1,60,2,1,1,2,0,72938.68,63478.33,42116.58,8125.62,16304.5,0.0,7790.58
0702448409,7002,3,2,1,5,1,58,4,2,2,4,0,49413.2,45929.33,49837.45,14939.82,600.0,1760.84,2777.1
0702448410,7002,2,2,1,3,1,62,3,2,1,3,0,32463.74,28531.95,24994.16,14759.8,0.0,469.55,2781.25
0702448411,7002,3,2,1,10,1,31,5,2,3,3,2,77869.53,72146.72,64607.89,10066.97,31120.64,0.0,3336.19
0702448412,7002,2,2,1,6,1,46,4,2,2,4,0,54109.15,45352.15,39264.1,16032.63,12499.15,57.71,3923.46
0702448614,7002,2,2,1,4,1,44,4,3,1,4,0,38090.14,28155.72,35035.0,16431.22,1800.0,2015.2,2678.52
0702448615,7002,2,2,1,1,2,78,2,0,2,2,0,28480.31,15127.86,31849.05,14489.81,626.08,1173.91,1409.99
0702448616,7002,2,2,1,3,1,68,2,1,1,2,0,41409.81,0.0,42476.31,20326.89,0.0,2005.41,5160.0
0702448617,7002,2,2,1,8,1,65,3,1,2,3,0,42403.26,14852.45,28312.45,14926.97,0.0,518.47,257.14
0702448618,7002,1,2,1,6,2,61,1,0,1,1,0,17121.14,3983.6,24085.55,13139.79,0.0,0.0,2104.24
0702448919,7002,2,2,1,1,1,71,2,1,1,2,0,23119.93,8252.6,29531.1,19092.7,0.0,2426.07,4918.84
0702448920,7002,2,2,1,1,1,79,2,1,1,2,0,19329.62,1159.23,7582.52,3304.19,0.0,0.0,2090.3
0702448921,7002,2,2,1,3,1,52,4,2,2,3,1,37047.12,35014.87,32361.81,23643.96,0.0,440.21,3023.46
0702448922,7002,2,2,1,6,1,52,5,3,2,5,0,68006.45,60554.32,40705.01,23502.75,0.0,1027.16,5410.52
0702448923,7002,2,2,1,6,1,36,4,1,3,2,2,27057.1,22499.99,30623.9,17626.93,0.0,127.17,1946.74
0702449019,7003,3,3,1,8,2,49,5,1,4,3,2,45782.59,45782.59,28000.12,9732.72,4373.03,382.48,900.0
0702449020,7003,3,3,1,7,2,45,4,3,1,4,0,47514.97,39741.83,30570.99,12317.01,0.0,1078.99,2721.41
0702449021,7003,2,3,1,6,1,32,4,3,1,3,1,22424.41,19521.19,18725.56,9089.88,1305.88,821.73,2886.16
0702449022,7003,2,3,1,6,1,63,2,1,1,2,0,29815.08,20076.84,26021.78,15441.21,0.0,311.07,5825.8
0702449023,7003,3,3,1,6,1,38,7,4,3,5,2,45177.85,44306.89,26812.77,15004.14,802.17,635.85,5564.3
0702449024,7003,3,3,1,6,2,21,4,1,3,3,1,19109.59,11739.13,32276.8,16090.51,1754.54,342.38,4085.52
0702449301,7003,2,3,1,10,1,62,2,1,1,2,0,39805.42,1653.26,45027.64,24981.26,1845.0,205.43,5144.1
0702449302,7003,2,3,1,4,2,39,3,1,2,2,1,28586.95,17308.85,22917.41,11931.29,3007.71,0.0,2782.66
0702449303,7003,2,3,1,4,2,49,2,0,2,2,0,42752.95,2054.34,13263.27,7264.17,3283.38,0.0,1002.85
0702449304,7003,2,3,1,8,1,33,3,1,2,2,1,31297.21,26192.91,26228.63,14939.73,1440.24,880.42,1063.81
0702449306,7003,2,3,1,4,1,74,2,2,0,2,0,17326.89,1124.99,5844.02,3432.82,0.0,0.0,290.32
0702449507,7003,3,3,1,8,2,20,2,0,2,2,0,26388.56,18758.13,35441.22,13178.44,4074.07,542.92,1554.04
0702449508,7003,2,3,1,1,1,94,3,1,2,3,0,36338.44,27597.21,35032.79,25559.74,510.0,3365.19,856.03
0702449509,7003,3,3,1,4,2,64,6,2,4,6,0,72992.6,63793.8,53915.79,23116.88,7396.91,459.77,12413.3
0702449510,7003,1,3,1,3,2,70,1,0,1,1,0,19085.2,2005.43,11292.16,4448.51,0.0,1091.72,1848.72
0702449511,7003,2,3,1,9,1,62,2,1,1,2,0,36025.31,20986.62,32280.57,15094.17,4083.91,17.6,9037.58
0702449512,7003,2,3,1,6,1,49,4,3,1,3,1,86407.81,84206.73,43019.08,18263.39,1678.04,1222.81,11018.05
0702449713,7003,1,3,1,1,2,72,1,0,1,1,0,17754.08,0.0,17405.44,11134.16,0.0,1790.2,857.14
0702449714,7003,1,3,1,4,1,61,1,1,0,1,0,15477.04,13377.04,13123.53,12059.84,0.0,0.0,0.0
0702449716,7003,2,3,1,6,1,49,3,1,2,3,0,122380.3,25475.39,48717.42,24891.17,880.43,141.84,9693.44
0702449717,7003,3,3,1,4,2,70,3,1,2,2,1,55004.23,30491.79,46501.54,22075.43,14095.08,29.34,4037.69
0702449718,7003,2,3,1,10,1,70,2,1,1,2,0,43822.16,0.0,37907.12,14464.09,0.0,714.11,12085.02
0702450201,7005,2,3,1,3,1,49,4,2,2,4,0,77820.79,74917.57,26591.53,13313.41,2310.44,489.13,2702.06
0702450202,7005,2,3,1,1,2,68,2,1,1,2,0,31919.04,0.0,9724.9,4409.93,450.0,224.99,0.0
0702450203,7005,2,3,1,1,1,30,4,3,1,2,2,78283.4,71208.79,30948.57,11776.99,450.0,0.0,3066.34
0702450204,7005,3,3,1,5,1,35,8,6,2,5,3,28259.7,9593.39,17334.56,12214.11,0.0,538.04,580.64
0702450205,7005,3,3,1,3,1,43,7,2,5,5,2,35236.65,17629.1,13633.2,9102.71,450.0,78.26,580.64
0702450206,7005,2,3,1,8,1,26,4,2,2,2,2,82726.5,75468.44,28932.13,9488.43,1495.79,0.0,13186.62
0702450407,7005,2,3,1,4,1,43,4,2,2,3,1,43665.13,37858.68,45251.26,17048.36,11723.24,352.17,9685.67
0702450408,7005,2,3,1,4,1,58,3,2,1,3,0,39484.17,35129.34,20918.25,8961.32,0.0,539.99,3587.21
0702450409,7005,2,3,1,4,1,31,6,2,4,2,4,40127.14,36914.67,25435.48,8742.78,2580.95,381.51,5123.46
0702450410,7005,2,3,1,4,1,47,4,2,2,3,1,40000.71,35706.52,21552.81,11404.14,1551.69,978.24,3398.39
0702450411,7005,2,3,1,10,1,45,6,3,3,4,2,91203.83,82840.09,33747.73,15512.02,4454.39,567.39,4223.44
0702450412,7005,1,3,1,1,1,76,1,1,0,1,0,13159.17,0.0,10876.51,8999.99,185.86,366.84,0.0
